Key,English,ChineseSimplified,ChineseTraditional,Spanish,French,Russian,Portuguese,Japanese,Korean
天鹅舞,Swan Dance,天鹅舞,,,,,,白鳥の踊り,백조의 춤
海草舞,Seaweed Dance,海草舞,,,,,,海藻ダンス,해초 댄스
招呼舞,Greeting Dance,招呼舞,,,,,,挨拶ダンス,인사 댄스
街舞,Hiphop,街舞,,,,,,ヒップホップ,힙합
海盗,Pirate,海盗,,,,,,海賊,해적
鲤鱼,Koi,鲤鱼,,,,,,鯉,잉어
拉丁舞,Latin,拉丁舞,,,,,,ラテンダンス,라틴 댄스
鬼步舞,Ghost Step,鬼步舞,,,,,,ゴーストダンス,유령춤
没有明天,No tomorrow,没有明天,,,,,,明日はない,내일은 안돼
电流舞,Electric Dance,电流舞,,,,,,エレクトリックダンス,일렉트릭 댄스
告别记忆,Farewell Memory,告别记忆,,,,,,思い出に別れを告げる,기억과의 작별
醉酒的蝴蝶,Butterfly,醉酒的蝴蝶,,,,,,酔った蝶,취한 나비
舞蹈01,Dance 01,舞蹈01,,,,,,ダンス01,댄스 01
小熊跳舞01,Bear Dance 01,小熊跳舞01,,,,,,ダンシング・ベア 01,춤추는 곰 01
魔法城堡01,Magic Castle 01,魔法城堡01,,,,,,マジック・キャッスル 01,마법의 성 01
魔法城堡02,Magic Castle 02,魔法城堡02,,,,,,マジック・キャッスル 02,마법의 성 02
魔法城堡03,Magic Castle 03,魔法城堡03,,,,,,マジック・キャッスル 03,마법의 성 03
极乐净土,Blissful Land,极乐净土,,,,,,極楽浄土,순수한 행복의 땅
自由之轮,Wheel of Freedom,自由之轮,,,,,,フリーダムホイール,자유의 바퀴
Full Video（女）,Full Video (Female),Full Video（女）,,,,,,Full Video（女）,전체영상(여)
Full Video（男）,Full Video (Male),Full Video（男）,,,,,,Full Video（男）,풀영상(남)
Permission（女3）,Permission (Female 3),Permission（女3）,,,,,,Permission（女3）,허가 (여성 3)
Permission（男1）,Permission (Male 1),Permission（男1）,,,,,,Permission（男1）,허가 (남성 1)
Permission（女1）,Permission (Female 1),Permission（女1）,,,,,,Permission（女1）,허가 (여성 1)
Permission（女2）,Permission (Female 2),Permission（女2）,,,,,,Permission（女2）,허가 (여성 2)
How You Like That（女）,How You Like That (Female),How You Like That（女）,,,,,,How You Like That（女）,How You Like That(여)
How You Like That（男）,How You Like That (Male),How You Like That（男）,,,,,,How You Like That（男）,How You Like That(남성)
扭胯,Twist,扭胯,,,,,,腰をひねる,엉덩이를 비틀어보세요
欢迎你来,Welcome!,欢迎你来,,,,,,ようこそ,환영합니다
摇曳舞,Sway Dance,摇曳舞,,,,,,スイングダンス,스윙댄스
桃源恋歌,Peach Love,桃源恋歌,,,,,,桃園ラブソング,복숭아 정원 사랑 노래
螃蟹舞,Crab Dance,螃蟹舞,,,,,,カニダンス,게춤
抖肩舞,Shoulder Dance,抖肩舞,,,,,,肩を振るダンス,어깨 흔들기 댄스
扮兔子,Play Bunny,扮兔子,,,,,,ウサギのふりをする,토끼인 척
双手触地,Hand Touch,双手触地,,,,,,地面に触れる手,땅에 닿는 손
单手摆,Solo Pendulum,单手摆,,,,,,片手スイング,한 손으로 스윙
女性站立,Woman Standing,女性站立,,,,,,立っている女性,여성 서
男性站立,Stand Still,男性站立,,,,,,立っている男性,남성 서
握拳举起,Raise Your Fist,握拳举起,,,,,,拳を握り上げて,주먹을 쥐고 올려보세요
握拳摆,Swing,握拳摆,,,,,,握りこぶし,꽉 쥔 주먹
托腮,Chest,托腮,,,,,,あごサポート,턱 지지대
比耶,Victory,比耶,,,,,,ビー,비
比造型,Pattern,比造型,,,,,,形よりも,모양보다
扶头耍帅,Handsome,扶头耍帅,,,,,,頭を抱えてクールに見える,머리를 잡고 멋있어 보이세요
撑下巴,Chin Support,撑下巴,,,,,,あごをサポート,턱을 받쳐주세요
掩面,Hide,掩面,,,,,,掩面,얼굴을 숨기는 것
叉腰,Fold Waist,叉腰,,,,,,アキンボ,아킴보
撑头,Prop Up,撑头,,,,,,サポートヘッド,지지대
握拳,Swing,握拳,,,,,,拳を作る,주먹을 쥐다
侧身,Side-to-side,侧身,,,,,,横向き,샛길
眺望,Looking Out,眺望,,,,,,眺望,간과하다
抓手腕,Wristgrab,抓手腕,,,,,,手首を掴む,손목을 잡는다
双手握拳,Fist clenched,双手握拳,,,,,,両手で拳を作ります,양손으로 주먹을 쥐다
双手交叉,Hands Crossed,双手交叉,,,,,,手を組んだ,손을 교차
单脚立地,Stand on One Foot,单脚立地,,,,,,片足で立つ,한 발로 서다
鬼脸,Ghostface,鬼脸,,,,,,鬼脸,얼굴을 찡그리다
单手抱头,Arms Crossed,单手抱头,,,,,,片手で頭を押さえる,한 손으로 머리를 잡고
蹲姿,Squat,蹲姿,,,,,,しゃがんだ姿勢,쪼그리고 앉는 자세
双手合十,Hands Together,双手合十,,,,,,手を合わせて,두 손을 모아
模仿飞天,Imitation,模仿飞天,,,,,,フェイティアンの真似,Feitian의 모방
伸腿摸头,Stretch My Legs,伸腿摸头,,,,,,足を伸ばして頭を触ってください,다리를 쭉 뻗고 머리를 만져보세요
鬼畜,Weird beast,鬼畜,,,,,,鬼畜,유령 짐승
坐姿单腿伸出,Sit with one leg out.,坐姿单腿伸出,,,,,,片足を伸ばして座る,한쪽 다리를 쭉 뻗고 앉아 있는 모습
单手张开,Open Hand,单手张开,,,,,,片手を開いて,한 손으로 벌려
单手叉腰,Cross Waist,单手叉腰,,,,,,片手を腰に当てる,한 손은 엉덩이에
顶肩,Top Shoulders,顶肩,,,,,,トップショルダー,상단 어깨
半蹲张手,Half-Squat Arms Open,半蹲张手,,,,,,両手を開いて半分スクワット,양손을 벌리고 하프 스쿼트
半躺抱头,Lie Half-Back,半躺抱头,,,,,,頭を手に持って半分横たわっている,반쯤 누워서 머리를 손에 쥐고
单手匝地,Solo Turnpike,单手匝地,,,,,,片手ラップ,한손 랩
双手比耶,Duo Victory,双手比耶,,,,,,手ビエ,손 비예
单脚站立,Stand on One Leg,单脚站立,,,,,,片足で立つ,한쪽 다리로 서다
双手合并,Hands Combined,双手合并,,,,,,手を合わせる,손 병합
半躺撑着,Lie Half-Up,半躺撑着,,,,,,半分横になった状態,반쯤 누워서
站姿双手,Stand Pose,站姿双手,,,,,,立ち手,서있는 손
双手抱头,Arms Crossed,双手抱头,,,,,,手で頭を押さえる,손으로 머리를 잡고
屈腿坐姿,Sit Bended,屈腿坐姿,,,,,,足を曲げて座る,다리를 구부린 채 앉아 있는 모습
摆照型,Pose,摆照型,,,,,,ポーズタイプ,포즈 유형
双手托脸,Hand Facelift,双手托脸,,,,,,手で顔,손으로 얼굴을 대다
半躺摸下巴,Half-lying and touching my chin,半躺摸下巴,,,,,,半分横になってあごを触っている,반쯤 누워서 턱 만지기
单脚抬起,Lift on One Leg,单脚抬起,,,,,,片足を上げます,한쪽 다리 들어올리기
比心左,Heart L,比心左,,,,,,ビシン,빅신
比心右,Heart R,比心右,,,,,,心の権利,마음의 오른쪽
骑马舞,Riding Dance,骑马舞,,,,,,馬の踊り,말춤
学鸟走,Learn Bird Walk,学鸟走,,,,,,鳥のように歩くことを学ぶ,새처럼 걷는 법을 배우세요
旋转01,Spin 01,旋转01,,,,,,ローテーション 01,회전 01
旋转02,Spin 02,旋转02,,,,,,回転 02,회전 02
旋转03,Spin 03,旋转03,,,,,,回転 03,회전 03
旋转04,Rotate 04,旋转04,,,,,,回転 04,회전 04
旋转05,Spin 05,旋转05,,,,,,回転 05,회전 05
旋转06,Rotate 06,旋转06,,,,,,回転06,회전 06
旋转07,Spin 07,旋转07,,,,,,ロータリー 07,로타리 07
跳舞,Dance,跳舞,,,,,,ダンス,춤
歌舞,Sing and Dance,歌舞,,,,,,歌と踊り,노래와 춤
翻滚,Roll,翻滚,,,,,,ロール,연타
冲刺,Sprint,冲刺,,,,,,スプリント,스프린트
滑翔,Glider,滑翔,,,,,,滑空,활공
空中蹬腿,Air Stomp,空中蹬腿,,,,,,エアキック,에어킥
下蹲行走,Squat Walk,下蹲行走,,,,,,スクワットウォーキング,스쿼트 걷기
水中,In Water,水中,,,,,,水中,물 속에서
飞行,Fly,飞行,,,,,,フライト,비행
丧尸行,Zombie Row,丧尸行,,,,,,歩くゾンビ,걷는 좀비
仰卧起坐,Sit-ups,仰卧起坐,,,,,,腹筋運動,윗몸 일으키기
转圈,Spin,转圈,,,,,,ぐるぐる回る,원을 그리며 회전하다
鸭子坐,Duck Sit,鸭子坐,,,,,,座っているアヒル,오리 앉아
抱膝坐,Sit on Knee,抱膝坐,,,,,,膝を曲げて座る,무릎을 접고 앉기
躺下,Lie Down,躺下,,,,,,横になる,누워
趴下,Get down,趴下,,,,,,降りてください,내려와
爬行,Crawl,爬行,,,,,,クロール,기다
我是{0},I'm {0}.,我是{0},,,,,,私はそうだ。{0},맞아요.{0}
学生,Student,学生,,,,,,学生,학생
侦探,Detective,侦探,,,,,,探偵,형사
凶手是谁？,Who is the murderer?,凶手是谁？,,,,,,殺人者は誰ですか？,살인자는 누구입니까?
0.o 气死我了,0.o I'm so angry.,0.o 气死我了,,,,,,0.o頭にきたよ。,0.o 정말 화가 났어요.
救命啊！,Help!,救命啊！,,,,,,助けてくれ！,도와주세요!
谢谢你 ^_^,Thank you ^_^,谢谢你 ^_^,,,,,,ありがとう^_^。,감사합니다 ^_^
你好！,Hello!,你好！,,,,,,こんにちは！,안녕하세요!
别刀我 QAQ,"Don't hurt me, QAQ.",别刀我 QAQ,,,,,,切らないでくれ、QAQ。,"자르지 마세요, QAQ."
<--退！<--退！<--退！,<--Get back!<--Get back!<--Get back!,<--退！<--退！<--退！,,,,,,<--戻る<--退却<--戻る！,<-- 후퇴! <-- 후퇴! <-- 후퇴!
*0* 满分操作！,*0* Perfect!,*0* 满分操作！,,,,,,*0* 操作性は満点！,*0* 작동에 만점!
)*o*( 我要开始表演了~,*o* (I'm going to start the show!,)*o*( 我要开始表演了~,,,,,,)*o*( I'm going to start the show now~,)*오*( 이제 쇼를 시작하겠습니다~)
烟花筒,Fireworks,烟花筒,,,,,,花火管,불꽃 튜브
冲浪,Surfing,冲浪,,,,,,サーフィン,서핑
道具栏已满,Prop Bar is full,道具栏已满,,,,,,小道具バーは満杯だ。,소품 바가 꽉 찼습니다.
正在使用此道具,Using this item,正在使用此道具,,,,,,このプロップが使われている,이 소품이 사용 중입니다.
有人正在使用，请换个试试,"Someone is using it, please try another one",有人正在使用，请换个试试,,,,,,誰かが使っています。,다른 사람이 사용 중입니다. 다른 것을 사용해 보세요.
测试弹幕,Test Bomb,测试弹幕,,,,,,テストポップアップ,팝업 테스트
Hot-热门,Hot - Popular,Hot-热门,,,,,,ホットホット,Hot-Hot
Wing-翅膀,Wing - Wing,Wing-翅膀,,,,,,ウィング,Wing
Prop-道具,Prop - Item,Prop-道具,,,,,,プロップ,소품-소품
Food-食品,Food - Food,Food-食品,,,,,,Food-食品,식품 - 식료품
Firework-烟花,Firework - Fireworks,Firework-烟花,,,,,,花火,불꽃놀이
Vehicles-载具,Vehicles - Vehicle,Vehicles-载具,,,,,,車両 - キャリア,차량 - 운송업체
雪,Snow,雪,,,,,,雪,눈

